year,week,lineup_rank,firstName,lastName,position,salary,eventId
2025,12,4,Andrew,McAdorey,M,32,2025_quarterfinal_2
2025,12,4,Zach,Currier,M,22,2025_quarterfinal_1
2025,12,4,Marcus,Hudgins,D,18,2025_quarterfinal_1
2025,12,4,Joseph,Nardella,FO,26,2025_quarterfinal_1
2025,12,5,CJ,Kirst,A,6,2025_quarterfinal_1
2025,12,5,Blaze,Riorden,G,46,2025_quarterfinal_2
2025,12,5,Owen,Hiltz,A,32,2025_quarterfinal_2
2025,12,5,Andrew,McAdorey,M,32,2025_quarterfinal_2
2025,12,5,Zach,Currier,M,22,2025_quarterfinal_1
2025,12,5,Marcus,Hudgins,D,18,2025_quarterfinal_1
2025,12,5,Joseph,Nardella,FO,26,2025_quarterfinal_1
2025,13,1,Jeff,Teat,A,46,2025_semifinal_2
2025,13,1,CJ,Kirst,A,6,2025_semifinal_2
2025,13,1,Zach,Currier,M,22,2025_semifinal_2
2025,13,1,Andrew,McAdorey,M,32,2025_semifinal_1
2025,13,1,Michael,Grace,D,13,2025_semifinal_2
2025,13,1,Trevor,Baptiste,FO,33,2025_semifinal_2
2025,13,1,Logan,McNaney,G,39,2025_semifinal_1
2025,13,2,Jeff,Teat,A,46,2025_semifinal_2
2025,13,2,CJ,Kirst,A,6,2025_semifinal_2
2025,13,2,Logan,McNaney,G,39,2025_semifinal_1
2025,13,2,Trevor,Baptiste,FO,33,2025_semifinal_2
2025,13,2,Andrew,McAdorey,M,32,2025_semifinal_1
2025,13,2,Michael,Grace,D,13,2025_semifinal_2
2025,13,2,Matt,Traynor,M,22,2025_semifinal_2
2025,13,3,Jeff,Teat,A,46,2025_semifinal_2
2025,13,3,CJ,Kirst,A,6,2025_semifinal_2
2025,13,3,Logan,McNaney,G,39,2025_semifinal_1
2025,13,3,Trevor,Baptiste,FO,33,2025_semifinal_2
2025,13,3,Andrew,McAdorey,M,32,2025_semifinal_1
2025,13,3,Zach,Currier,M,22,2025_semifinal_2
2025,13,3,Marcus,Hudgins,D,18,2025_semifinal_2
2025,13,4,Jeff,Teat,A,46,2025_semifinal_2
2025,13,4,CJ,Kirst,A,6,2025_semifinal_2
2025,13,4,Logan,McNaney,G,39,2025_semifinal_1
2025,13,4,Trevor,Baptiste,FO,33,2025_semifinal_2
2025,13,4,Andrew,McAdorey,M,32,2025_semifinal_1
2025,13,4,Michael,Grace,D,13,2025_semifinal_2
2025,13,4,Dalton,Young,M,19,2025_semifinal_1
2025,13,5,Jeff,Teat,A,46,2025_semifinal_2
2025,13,5,CJ,Kirst,A,6,2025_semifinal_2
2025,13,5,Logan,McNaney,G,39,2025_semifinal_1
2025,13,5,Trevor,Baptiste,FO,33,2025_semifinal_2
2025,13,5,Andrew,McAdorey,M,32,2025_semifinal_1
2025,13,5,Michael,Grace,D,13,2025_semifinal_2
2025,13,5,Jared,Bernhardt,M,15,2025_semifinal_1
2025,14,1,Jeff,Teat,A,46,2025_championship_game
2025,14,1,Connor,Shellenberger,A,47,2025_championship_game
2025,14,1,Logan,McNaney,G,39,2025_championship_game
2025,14,1,Trevor,Baptiste,FO,33,2025_championship_game
2025,14,1,Jared,Bernhardt,M,15,2025_championship_game
2025,14,1,Michael,Rexrode,D,10,2025_championship_game
2025,14,1,Jonathan,Donville,M,10,2025_championship_game
2025,14,2,Jeff,Teat,A,46,2025_championship_game
2025,14,2,Liam,Entenmann,G,43,2025_championship_game
2025,14,2,Trevor,Baptiste,FO,33,2025_championship_game
2025,14,2,Brennan,O'Neill,A,40,2025_championship_game
2025,14,2,Michael,Grace,D,13,2025_championship_game
2025,14,2,Jared,Bernhardt,M,15,2025_championship_game
2025,14,2,Jonathan,Donville,M,10,2025_championship_game
2025,14,3,Jeff,Teat,A,46,2025_championship_game
2025,14,3,Logan,McNaney,G,39,2025_championship_game
2025,14,3,Trevor,Baptiste,FO,33,2025_championship_game
