year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_win160,actualPoints
2025,9,4,Zach,Currier,WAT,CHA,M,19,0.6137,25.5
2025,9,4,Greg,Weyl,OUT,ARC,D,2,0.3756,1.0
2025,9,4,Jared,Bernhardt,OUT,ARC,M,15,0.476,-15.0
2025,9,5,Brett,Dobson,ARC,RED,G,40,1.0,43.0
2025,9,5,Jeff,Teat,ATL,WHP,A,44,0.7883,51.0
2025,9,5,TJ,Malone,WHP,ATL,A,42,0.7577,12.0
2025,9,5,Zach,Currier,WAT,CHA,M,19,0.6137,25.5
2025,9,5,Trevor,Baptiste,ATL,WHP,FO,28,0.5023,10.1
2025,9,5,Greg,Weyl,OUT,ARC,D,2,0.3756,1.0
2025,9,5,Jared,Bernhardt,OUT,ARC,M,15,0.476,-15.0
2025,10,1,Blaze,Riorden,CHA,OUT,G,47,0.9411,52.0
2025,10,1,Jeff,Teat,ATL,OUT,A,47,0.8027,25.0
2025,10,1,Michael,Sowers,WAT,CAN,A,46,0.824,37.0
2025,10,1,Trevor,Baptiste,ATL,OUT,FO,24,0.6092,6.9
2025,10,1,Zach,Currier,WAT,CAN,M,18,0.5829,4.0
2025,10,1,Greg,Weyl,OUT,CHA,D,3,0.3367,0.0
2025,10,1,Jared,Bernhardt,OUT,CHA,M,15,0.43,36.0
2025,10,2,Logan,McNaney,OUT,CHA,G,44,0.8919,40.0
2025,10,2,Michael,Sowers,WAT,CAN,A,46,0.824,37.0
2025,10,2,Trevor,Baptiste,ATL,OUT,FO,24,0.6092,6.9
2025,10,2,Rob,Pannell,WHP,RED,A,19,0.6105,13.0
2025,10,2,Zach,Currier,WAT,CAN,M,18,0.5829,4.0
2025,10,2,Matt,Traynor,ATL,OUT,M,25,0.4835,-4.0
2025,10,2,Ajax,Zappitello,WHP,RED,D,23,0.5163,30.0
2025,10,3,Jeff,Teat,ATL,OUT,A,47,0.8027,25.0
2025,10,3,Michael,Sowers,WAT,CAN,A,46,0.824,37.0
2025,10,3,Trevor,Baptiste,ATL,OUT,FO,24,0.6092,6.9
2025,10,3,Colin,Kirst,CAN,WAT,G,10,0.6977,58.0
2025,10,3,Zach,Currier,WAT,CAN,M,18,0.5829,4.0
2025,10,3,Matt,Traynor,ATL,OUT,M,25,0.4835,-4.0
2025,10,3,Ajax,Zappitello,WHP,RED,D,23,0.5163,30.0
2025,10,4,Logan,McNaney,OUT,CHA,G,44,0.8919,40.0
2025,10,4,Michael,Sowers,WAT,CAN,A,46,0.824,37.0
2025,10,4,Trevor,Baptiste,ATL,OUT,FO,24,0.6092,6.9
2025,10,4,Marcus,Holman,CAN,WAT,A,30,0.6618,38.0
2025,10,4,Zach,Currier,WAT,CAN,M,18,0.5829,4.0
2025,10,4,Ajax,Zappitello,WHP,RED,D,23,0.5163,30.0
2025,10,4,Jared,Bernhardt,OUT,CHA,M,15,0.43,36.0
2025,10,5,Blaze,Riorden,CHA,OUT,G,47,0.9411,52.0
2025,10,5,Michael,Sowers,WAT,CAN,A,46,0.824,37.0
