year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_p90,actualPoints
2025,5,5,Dillon,Ward,WAT,RED,G,17,55.094736941279656,25.0
2025,5,5,Zach,Currier,WAT,RED,M,19,54.0585180295875,10.5
2025,5,5,Andrew,McAdorey,RED,WAT,M,38,68.30240573354986,9.0
2025,5,5,Mac,O'Keefe,ARC,ATL,A,17,61.58314497178419,23.0
2025,5,5,Kenny,Brower,WAT,RED,D,23,49.17123878660371,1.0
2025,7,1,Emmet,Carroll,WHP,OUT,G,40,90.01635195288704,40.0
2025,7,1,Connor,Shellenberger,ATL,CAN,A,42,102.78638332773596,70.0
2025,7,1,Jeff,Teat,ATL,CAN,A,41,89.71575938671543,55.0
2025,7,1,Trevor,Baptiste,ATL,CAN,FO,35,73.4051687894174,17.6
2025,7,1,Zach,Currier,WAT,ARC,M,16,56.20545647976607,11.3
2025,7,1,Jared,Bernhardt,OUT,WHP,M,15,56.442771778364445,32.0
2025,7,1,Scott,Smith,CHA,RED,D,8,50.11638143161998,0.0
2025,7,2,Emmet,Carroll,WHP,OUT,G,40,90.01635195288704,40.0
2025,7,2,Connor,Shellenberger,ATL,CAN,A,42,102.78638332773596,70.0
2025,7,2,Jeff,Teat,ATL,CAN,A,41,89.71575938671543,55.0
2025,7,2,Trevor,Baptiste,ATL,CAN,FO,35,73.4051687894174,17.6
2025,7,2,Tom,Schreiber,ARC,WAT,M,22,63.827827541763625,38.0
2025,7,2,Tre,Leclaire,ARC,WAT,M,10,46.81523167929609,23.0
2025,7,2,Scott,Smith,CHA,RED,D,8,50.11638143161998,0.0
2025,7,3,Logan,McNaney,OUT,WHP,G,42,84.19352494681745,56.0
2025,7,3,Connor,Shellenberger,ATL,CAN,A,42,102.78638332773596,70.0
2025,7,3,Jeff,Teat,ATL,CAN,A,41,89.71575938671543,55.0
2025,7,3,Trevor,Baptiste,ATL,CAN,FO,35,73.4051687894174,17.6
2025,7,3,Zach,Currier,WAT,ARC,M,16,56.20545647976607,11.3
2025,7,3,Jared,Bernhardt,OUT,WHP,M,15,56.442771778364445,32.0
2025,7,3,Scott,Smith,CHA,RED,D,8,50.11638143161998,0.0
2025,7,4,Emmet,Carroll,WHP,OUT,G,40,90.01635195288704,40.0
2025,7,4,Connor,Shellenberger,ATL,CAN,A,42,102.78638332773596,70.0
2025,7,4,Trevor,Baptiste,ATL,CAN,FO,35,73.4051687894174,17.6
2025,7,4,Aidan,Carroll,WHP,OUT,A,36,74.72691320180854,13.0
2025,7,4,Tom,Schreiber,ARC,WAT,M,22,63.827827541763625,38.0
2025,7,4,Jared,Bernhardt,OUT,WHP,M,15,56.442771778364445,32.0
2025,7,4,Scott,Smith,CHA,RED,D,8,50.11638143161998,0.0
2025,7,5,Emmet,Carroll,WHP,OUT,G,40,90.01635195288704,40.0
2025,7,5,Connor,Shellenberger,ATL,CAN,A,42,102.78638332773596,70.0
2025,7,5,Trevor,Baptiste,ATL,CAN,FO,35,73.4051687894174,17.6
2025,7,5,Aidan,Carroll,WHP,OUT,A,36,74.72691320180854,13.0
2025,7,5,Tom,Schreiber,ARC,WAT,M,22,63.827827541763625,38.0
2025,7,5,Zach,Currier,WAT,ARC,M,16,56.20545647976607,11.3
2025,7,5,Scott,Smith,CHA,RED,D,8,50.11638143161998,0.0
2025,8,1,Emmet,Carroll,WHP,WAT,G,40,83.59712518529541,41.0
2025,8,1,Jeff,Teat,ATL,RED,A,42,85.19212758478089,56.0
2025,8,1,Marcus,Holman,CAN,OUT,A,31,63.52162566874063,51.0
2025,8,1,Andrew,McAdorey,RED,ATL,M,36,73.99230159388681,16.4
2025,8,1,Justin,Inacio,CHA,ARC,FO,25,59.54942669726452,12.7
2025,8,1,Cole,Kirst,RED,ATL,M,2,43.85858140875128,-3.0
2025,8,1,Marcus,Hudgins,WAT,WHP,D,23,52.3369469129188,11.0
2025,8,2,Emmet,Carroll,WHP,WAT,G,40,83.59712518529541,41.0
2025,8,2,Jeff,Teat,ATL,RED,A,42,85.19212758478089,56.0
2025,8,2,Asher,Nolting,CAN,OUT,A,36,67.04755796190268,45.0
2025,8,2,Justin,Inacio,CHA,ARC,FO,25,59.54942669726452,12.7
2025,8,2,Matt,Brandau,WHP,WAT,M,29,63.74975876543771,53.0
2025,8,2,Cole,Kirst,RED,ATL,M,2,43.85858140875128,-3.0
2025,8,2,Marcus,Hudgins,WAT,WHP,D,23,52.3369469129188,11.0
2025,8,3,Emmet,Carroll,WHP,WAT,G,40,83.59712518529541,41.0
2025,8,3,Jeff,Teat,ATL,RED,A,42,85.19212758478089,56.0
2025,8,3,Marcus,Holman,CAN,OUT,A,31,63.52162566874063,51.0
2025,8,3,Andrew,McAdorey,RED,ATL,M,36,73.99230159388681,16.4
2025,8,3,Justin,Inacio,CHA,ARC,FO,25,59.54942669726452,12.7
2025,8,3,Jonathan,Donville,OUT,CAN,M,2,33.75188026101636,2.0
2025,8,3,Marcus,Hudgins,WAT,WHP,D,23,52.3369469129188,11.0
2025,8,4,Emmet,Carroll,WHP,WAT,G,40,83.59712518529541,41.0
2025,8,4,Jeff,Teat,ATL,RED,A,42,85.19212758478089,56.0
2025,8,4,Marcus,Holman,CAN,OUT,A,31,63.52162566874063,51.0
2025,8,4,Justin,Inacio,CHA,ARC,FO,25,59.54942669726452,12.7
2025,8,4,Matt,Brandau,WHP,WAT,M,29,63.74975876543771,53.0
2025,8,4,Cole,Kirst,RED,ATL,M,2,43.85858140875128,-3.0
2025,8,4,Marcus,Hudgins,WAT,WHP,D,23,52.3369469129188,11.0
2025,8,5,Brett,Dobson,ARC,CHA,G,40,72.6225437121534,45.0
2025,8,5,Jeff,Teat,ATL,RED,A,42,85.19212758478089,56.0
2025,8,5,Marcus,Holman,CAN,OUT,A,31,63.52162566874063,51.0
2025,8,5,Andrew,McAdorey,RED,ATL,M,36,73.99230159388681,16.4
2025,8,5,Justin,Inacio,CHA,ARC,FO,25,59.54942669726452,12.7
2025,8,5,Cole,Kirst,RED,ATL,M,2,43.85858140875128,-3.0
2025,8,5,Marcus,Hudgins,WAT,WHP,D,23,52.3369469129188,11.0
2025,9,1,Emmet,Carroll,WHP,ATL,G,40,78.06432522126876,29.0
2025,9,1,Jeff,Teat,ATL,WHP,A,44,89.00075136947395,51.0
2025,9,1,Owen,Hiltz,CHA,WAT,A,37,78.56183401919755,59.0
2025,9,1,Andrew,McAdorey,RED,ARC,M,33,74.92318504168045,-6.0
2025,9,1,TD,Ierlan,RED,ARC,FO,29,48.47887329776969,13.4
2025,9,1,Greg,Weyl,OUT,ARC,D,2,52.70302127588428,1.0
2025,9,1,Jared,Bernhardt,OUT,ARC,M,15,43.41014756920232,-15.0
2025,9,2,Emmet,Carroll,WHP,ATL,G,40,78.06432522126876,29.0
2025,9,2,Jeff,Teat,ATL,WHP,A,44,89.00075136947395,51.0
2025,9,2,Owen,Hiltz,CHA,WAT,A,37,78.56183401919755,59.0
2025,9,2,Andrew,McAdorey,RED,ARC,M,33,74.92318504168045,-6.0
2025,9,2,Tom,Schreiber,ARC,RED,M,22,54.2353055184042,15.0
2025,9,2,Greg,Weyl,OUT,ARC,D,2,52.70302127588428,1.0
2025,9,2,Luke,Wierman,OUT,ARC,FO,19,36.33367534853406,25.9
2025,9,3,Brett,Dobson,ARC,RED,G,40,76.32893618700243,43.0
2025,9,3,Jeff,Teat,ATL,WHP,A,44,89.00075136947395,51.0
2025,9,3,Owen,Hiltz,CHA,WAT,A,37,78.56183401919755,59.0
2025,9,3,Andrew,McAdorey,RED,ARC,M,33,74.92318504168045,-6.0
2025,9,3,TD,Ierlan,RED,ARC,FO,29,48.47887329776969,13.4
2025,9,3,Greg,Weyl,OUT,ARC,D,2,52.70302127588428,1.0
2025,9,3,Jared,Bernhardt,OUT,ARC,M,15,43.41014756920232,-15.0
2025,9,4,Emmet,Carroll,WHP,ATL,G,40,78.06432522126876,29.0
2025,9,4,Jeff,Teat,ATL,WHP,A,44,89.00075136947395,51.0
2025,9,4,Owen,Hiltz,CHA,WAT,A,37,78.56183401919755,59.0
2025,9,4,Andrew,McAdorey,RED,ARC,M,33,74.92318504168045,-6.0
2025,9,4,Trevor,Baptiste,ATL,WHP,FO,28,45.72511723102149,10.1
2025,9,4,Greg,Weyl,OUT,ARC,D,2,52.70302127588428,1.0
2025,9,4,Jared,Bernhardt,OUT,ARC,M,15,43.41014756920232,-15.0
2025,9,5,Brett,Dobson,ARC,RED,G,40,76.32893618700243,43.0
2025,9,5,Jeff,Teat,ATL,WHP,A,44,89.00075136947395,51.0
2025,9,5,Owen,Hiltz,CHA,WAT,A,37,78.56183401919755,59.0
2025,9,5,Andrew,McAdorey,RED,ARC,M,33,74.92318504168045,-6.0
2025,9,5,Tom,Schreiber,ARC,RED,M,22,54.2353055184042,15.0
2025,9,5,Greg,Weyl,OUT,ARC,D,2,52.70302127588428,1.0
2025,9,5,Luke,Wierman,OUT,ARC,FO,19,36.33367534853406,25.9
2025,10,1,Logan,McNaney,OUT,CHA,G,44,81.64086670633175,40.0
2025,10,1,Jeff,Teat,ATL,OUT,A,47,89.6818257000279,25.0
2025,10,1,Owen,Hiltz,CHA,OUT,A,46,78.20174621461078,53.0
2025,10,1,Trevor,Baptiste,ATL,OUT,FO,24,59.00232246172309,6.9
2025,10,1,Andrew,McAdorey,RED,WHP,M,28,67.77986323252779,16.0
2025,10,1,Greg,Weyl,OUT,CHA,D,3,52.68717281192088,0.0
2025,10,1,Dox,Aitken,ATL,OUT,M,8,29.98791480265097,-2.0
2025,10,2,Logan,McNaney,OUT,CHA,G,44,81.64086670633175,40.0
2025,10,2,Jeff,Teat,ATL,OUT,A,47,89.6818257000279,25.0
2025,10,2,Owen,Hiltz,CHA,OUT,A,46,78.20174621461078,53.0
2025,10,2,Trevor,Baptiste,ATL,OUT,FO,24,59.00232246172309,6.9
2025,10,2,Andrew,McAdorey,RED,WHP,M,28,67.77986323252779,16.0
2025,10,2,Greg,Weyl,OUT,CHA,D,3,52.68717281192088,0.0
2025,10,2,Jonathan,Donville,OUT,CHA,M,8,25.181979440782992,-6.0
2025,10,3,Logan,McNaney,OUT,CHA,G,44,81.64086670633175,40.0
2025,10,3,Jeff,Teat,ATL,OUT,A,47,89.6818257000279,25.0
2025,10,3,Chris,Kavanagh,RED,WHP,A,36,60.29812470029419,82.0
2025,10,3,Trevor,Baptiste,ATL,OUT,FO,24,59.00232246172309,6.9
2025,10,3,Andrew,McAdorey,RED,WHP,M,28,67.77986323252779,16.0
2025,10,3,Greg,Weyl,OUT,CHA,D,3,52.68717281192088,0.0
2025,10,3,Jared,Bernhardt,OUT,CHA,M,15,42.77246119906362,36.0
2025,10,4,Logan,McNaney,OUT,CHA,G,44,81.64086670633175,40.0
2025,10,4,Jeff,Teat,ATL,OUT,A,47,89.6818257000279,25.0
2025,10,4,Chris,Kavanagh,RED,WHP,A,36,60.29812470029419,82.0
2025,10,4,Trevor,Baptiste,ATL,OUT,FO,24,59.00232246172309,6.9
2025,10,4,Andrew,McAdorey,RED,WHP,M,28,67.77986323252779,16.0
2025,10,4,Zach,Currier,WAT,CAN,M,18,42.33821215026964,4.0
2025,10,4,Greg,Weyl,OUT,CHA,D,3,52.68717281192088,0.0
2025,10,5,Logan,McNaney,OUT,CHA,G,44,81.64086670633175,40.0
2025,10,5,Jeff,Teat,ATL,OUT,A,47,89.6818257000279,25.0
2025,10,5,Trevor,Baptiste,ATL,OUT,FO,24,59.00232246172309,6.9
